step,example_name,liquid_base,savory,sweet,spoonable,drink_like,meal_like,contains_solids,served_hot,cold_ok,broth_based
1,gazpacho,0.5,0.5,-0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,-0.5
2,vegetable_broth,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
3,cereal_with_milk,0.0,0.5,-0.5,0.0,-0.5,0.5,0.5,-0.5,0.5,-0.5
4,tomato_soup,0.0,0.5,-0.5,0.0,-0.5,0.5,0.0,0.0,0.0,0.0
5,smoothie,0.0,0.667,-0.667,0.333,-0.667,0.667,0.167,0.167,-0.167,0.167
6,miso_soup,0.0,0.667,-0.667,0.333,-0.667,0.667,0.333,0.333,-0.333,0.333
7,hot_chocolate,0.0,0.75,-0.75,0.5,-0.75,0.75,0.417,0.167,-0.167,0.417
8,chicken_noodle_soup,0.0,0.75,-0.75,0.5,-0.75,0.75,0.5,0.25,-0.25,0.5
